Entry Date,ID,Exit Date,Pages Viewed,Conversion
2015-01-01 12:00:31,1,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,2,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,3,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,4,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,5,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,6,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,7,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,8,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,9,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,10,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,11,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,12,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,13,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,14,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,15,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,16,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,17,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,18,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,19,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,20,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,21,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,22,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,23,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,24,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,25,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,26,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,27,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,28,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,29,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,30,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,31,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,32,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,33,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,34,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,35,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,36,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,37,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,38,2015-01-01 12:00:32,1,No
2015-01-01 12:00:31,39,2015-01-01 12:00:32,1,No
