Date,Id,Gender,Age,Income,Context,Impression Cost
2015-01-01 12:00:01,1,Male,<25,Low,News,1
2015-01-01 12:00:01,2,Female,<25,Low,News,1
2015-01-01 12:00:01,3,Male,25-34,Low,News,1
2015-01-01 12:00:01,4,Female,25-34,Low,News,1
2015-01-01 12:00:01,5,Male,35-44,Low,News,1
2015-01-01 12:00:01,6,Female,35-44,Low,News,1
2015-01-01 12:00:01,7,Male,45-54,Low,News,1
2015-01-01 12:00:01,8,Female,45-54,Low,News,1
2015-01-01 12:00:01,9,Male,>54,Low,News,1
2015-01-01 12:00:01,10,Female,>54,Medium,News,1
2015-01-01 12:00:01,11,Male,<25,Medium,News,1
2015-01-01 12:00:01,12,Female,<25,Medium,News,1
2015-01-01 12:00:01,13,Male,25-34,Medium,News,1
2015-01-01 12:00:01,14,Female,25-34,Medium,News,1
2015-01-01 12:00:01,15,Male,35-44,Medium,News,1
2015-01-01 12:00:01,16,Female,35-44,Medium,News,1
2015-01-01 12:00:01,17,Male,45-54,Medium,News,1
2015-01-01 12:00:01,18,Female,45-54,Medium,News,1
2015-01-01 12:00:01,19,Male,>54,Medium,News,1
2015-01-01 12:00:01,20,Female,>54,Medium,News,1
2015-01-01 12:00:01,21,Male,<25,High,News,1
2015-01-01 12:00:01,22,Female,<25,High,News,1
2015-01-01 12:00:01,23,Male,25-34,High,News,1
2015-01-01 12:00:01,24,Female,25-34,High,News,1
2015-01-01 12:00:01,25,Male,35-44,High,News,1
2015-01-01 12:00:01,26,Female,35-44,High,News,1
2015-01-01 12:00:01,27,Male,45-54,High,News,1
2015-01-01 12:00:01,28,Female,45-54,High,News,1
2015-01-01 12:00:01,29,Male,>54,High,News,1
2015-01-01 12:00:01,30,Female,>54,High,News,1
2015-01-01 12:00:01,31,Male,<25,Low,Shopping,1
2015-01-01 12:00:01,32,Female,<25,Low,Shopping,1
2015-01-01 12:00:01,33,Male,25-34,Low,Shopping,1
2015-01-01 12:00:01,34,Female,25-34,Low,Shopping,1
2015-01-01 12:00:01,35,Male,35-44,Low,Shopping,1
2015-01-01 12:00:01,36,Female,35-44,Low,Shopping,1
2015-01-01 12:00:01,37,Male,45-54,Low,Shopping,1
2015-01-01 12:00:01,38,Female,45-54,Low,Shopping,1
2015-01-01 12:00:01,39,Male,>54,Low,Shopping,1
2015-01-01 12:00:01,40,Female,>54,Medium,Shopping,1
2015-01-01 12:00:01,41,Male,<25,Medium,Shopping,1
2015-01-01 12:00:01,42,Female,<25,Medium,Shopping,1
2015-01-01 12:00:01,43,Male,25-34,Medium,Shopping,1
2015-01-01 12:00:01,44,Female,25-34,Medium,Shopping,1
2015-01-01 12:00:01,45,Male,35-44,Medium,Shopping,1
2015-01-01 12:00:01,46,Female,35-44,Medium,Shopping,1
2015-01-01 12:00:01,47,Male,45-54,Medium,Shopping,1
2015-01-01 12:00:01,48,Female,45-54,Medium,Shopping,1
2015-01-01 12:00:01,49,Male,>54,Medium,Shopping,1
2015-01-01 12:00:01,50,Female,>54,Medium,Shopping,1
2015-01-01 12:00:01,51,Male,<25,High,Shopping,1
2015-01-01 12:00:01,52,Female,<25,High,Shopping,1
2015-01-01 12:00:01,53,Male,25-34,High,Shopping,1
